report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-10-31,Brooklyn,13.0,,347.0,
2025-10-31,Brooklyn,14.0,154.0,76.0,
2025-10-31,Brooklyn,15.0,442.0,180.0,
2025-10-31,Brooklyn,16.0,550.0,2172.0,
2025-10-31,Brooklyn,17.0,155.0,1461.0,
2025-10-31,Brooklyn,18.0,284.0,750.0,
2025-10-31,Brooklyn,2.0,,122.0,
2025-10-31,Brooklyn,3.0,434.0,376.0,
2025-10-31,Brooklyn,4.0,30.0,768.0,
2025-10-31,Brooklyn,5.0,599.0,1029.0,
2025-10-31,Brooklyn,6.0,296.0,448.0,
2025-10-31,Brooklyn,7.0,274.0,362.0,
2025-10-31,Brooklyn,8.0,,536.0,
2025-10-31,Brooklyn,9.0,,351.0,
2025-10-31,Manhattan,1.0,531.0,,
2025-10-31,Manhattan,10.0,,588.0,
2025-10-31,Manhattan,11.0,,488.0,
2025-10-31,Manhattan,12.0,,,
2025-10-31,Manhattan,2.0,288.0,,
2025-10-31,Manhattan,3.0,101.0,103.0,
2025-10-31,Manhattan,4.0,1103.0,354.0,
2025-10-31,Manhattan,5.0,2476.0,385.0,
2025-10-31,Manhattan,6.0,254.0,589.0,
2025-10-31,Manhattan,7.0,938.0,350.0,
2025-10-31,Manhattan,8.0,527.0,,
2025-10-31,Manhattan,9.0,,616.0,
2025-10-31,Queens,1.0,3672.0,527.0,
2025-10-31,Queens,10.0,687.0,,
2025-10-31,Queens,11.0,164.0,,
2025-10-31,Queens,12.0,6534.0,1320.0,
2025-10-31,Queens,13.0,458.0,601.0,
2025-10-31,Queens,14.0,270.0,0.0,
2025-10-31,Queens,2.0,907.0,188.0,
2025-10-31,Queens,3.0,1947.0,774.0,
2025-10-31,Queens,4.0,,530.0,
2025-10-31,Queens,5.0,,219.0,
2025-10-31,Queens,6.0,,244.0,
2025-10-31,Queens,7.0,71.0,,
2025-10-31,Queens,8.0,141.0,296.0,
2025-10-31,Queens,9.0,,,
2025-10-31,Staten Island,1.0,48.0,521.0,
2025-10-31,Staten Island,2.0,,136.0,
