nta_id,weighted_score,food_insecure_percentage,supply_gap,vulnerable_population_percentage
BX0201,5.3225,26.58,-883051.0028,16.45
MN0303,5.3079,15.86,188107.9845,11.74
QN1002,5.2864,27.15,552004.1179,14.31
QN0601,5.2516,17.24,607574.3122,20.39
MN0202,5.2454,11.98,354246.2357,11.16
QN1402,5.2339,14.22,-98644.2063,11.79
SI0103,5.2165,8.08,-220501.2981,12.44
QN0705,5.2114,20.7,274269.3115,29.6
MN0501,5.1866,15.55,105808.4448,13.41
QN0202,5.1813,16.36,-505568.1104,25.55
MN0801,5.1726,9.01,621584.8186,16.8
QN0503,5.1623,17.72,79226.3245,14.81
MN0803,5.1603,10.16,487634.8317,11.88
QN0201,5.1386,11.46,-277593.3785,20.54
BK1502,5.1318,14.06,422269.3673,16.27
MN0802,5.1288,17.81,520883.1931,11.06
MN0203,5.1129,11.54,253349.6214,10.26
QN0802,5.1118,10.66,37786.5637,13.8
QN0703,5.0869,9.97,381067.5249,10.29
BX1001,5.0758,24.31,-280008.9768,17.98
BK0402,5.0732,15.23,-831492.9453,13.92
BK0802,5.0635,15.21,-1060374.8421,11.42
SI0302,5.023,8.01,404970.069,7.63
SI0101,4.9998,7.53,-309762.2068,12.47
QN1203,4.9812,8.62,-1116687.2877,14.9
QN0803,4.9786,13.84,508143.2153,15.76
QN0904,4.9605,28.32,29508.4904,19.73
SI0304,4.9554,9.82,553347.696,7.49
QN0102,4.9508,19.82,59285.6616,18.16
QN1104,4.949,9.76,426721.4878,13.3
MN0604,4.947,8.11,388221.0416,13.24
QN1103,4.9457,10.78,258347.5935,12.0
BK0801,4.9265,11.32,89800.7604,9.38
MN0601,4.9155,14.97,323939.5496,13.1
MN0401,4.9151,12.74,-251103.7907,12.19
BK1401,4.9111,8.23,-715826.7657,16.58
SI0104,4.8789,13.5,-20428.5443,10.23
BK1802,4.8773,10.54,-152372.5432,11.15
SI0303,4.873,6.0,307646.0685,8.43
MN0602,4.8702,11.02,266392.705,9.65
BK0902,4.8643,12.17,-848516.8806,12.85
QN1307,4.8629,5.49,-52191.3035,13.08
BK0901,4.8538,14.14,-427945.4578,14.85
BK1704,4.8112,14.46,-1435302.713,16.81
BK1701,4.7739,11.82,-1005067.2496,16.35
QN0905,4.7738,12.71,-453921.8731,19.82
QN0903,4.7725,13.99,-505298.1104,25.11
BK1702,4.7717,9.51,-1214653.8267,16.94
BK1203,4.7631,12.78,-109831.4229,14.23
QN0602,4.7528,10.97,-110801.2981,16.51
SI0305,4.7246,14.6,362588.991,7.04
BK0201,4.6922,8.96,220711.6,9.8
BK1402,4.6868,16.81,-858689.7245,16.13
QN0901,4.6179,13.57,-90179.3138,13.27
BX0202,4.6066,20.97,-1900388.3471,15.06
MN1203,4.5837,14.99,-930280.2196,17.05
BK0505,4.5734,15.16,-1250389.7944,13.28
BK0202,4.5585,13.93,-290621.2545,14.49
SI0106,4.5446,13.49,-858562.3008,15.32
BK1301,4.4826,24.25,-820212.2393,17.83
MN0101,4.482,10.99,72142.5598,10.68
QN1204,4.4723,7.03,-1249890.6689,9.7
BK0502,4.3831,15.79,-1871331.6074,13.82
BX0102,4.3791,22.73,-2061895.0682,13.81
BK1703,4.3175,9.79,-1571148.5208,16.35
QN0801,4.3161,14.01,-564871.9309,14.93
BK0501,4.2373,14.02,-1462795.6837,17.36
QN1206,4.0187,9.24,-1405339.3898,15.32
QN0203,4.0001,14.78,-923457.0098,33.14
BX0301,3.9964,29.56,-2560586.0877,13.36
QN0504,3.9625,11.42,-684793.762,14.87
QN1201,3.9281,13.23,-2384216.4403,23.81
QN1304,3.9054,3.41,-882718.7291,12.15
MN1001,3.8079,15.12,-1608497.9919,11.88
QN1303,3.7446,9.2,-1891016.6741,15.5
BK1601,3.5362,16.73,-2598736.7898,12.39
QN1305,3.4683,2.92,-1331391.6492,11.34
SI0102,3.3294,8.85,-1977610.2306,14.29
BK0302,3.2973,17.27,-3265226.3004,10.19
QN1202,3.1957,13.66,-3923144.6392,16.73
BK1801,2.4925,7.72,-3444044.3797,13.18
QN1205,2.3549,7.53,-3121732.8749,11.99
QN0105,2.2455,18.81,-3790742.5204,17.41
BK1803,1.9331,7.51,-4606011.5076,13.4
QN0902,1.6679,13.6,-3674853.8866,19.58
