report_date,year,month,Year-Month,family_with_children_shelter
2024-03-31,2024,3,2024-03,821
2024-03-31,2024,3,2024-03,288
2024-03-31,2024,3,2024-03,727
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,512
2024-03-31,2024,3,2024-03,569
2024-03-31,2024,3,2024-03,747
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,526
2024-03-31,2024,3,2024-03,507
2024-03-31,2024,3,2024-03,1006
2024-03-31,2024,3,2024-03,368
2024-03-31,2024,3,2024-03,105
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,1005
2024-03-31,2024,3,2024-03,1565
2024-03-31,2024,3,2024-03,2365
2024-03-31,2024,3,2024-03,469
2024-03-31,2024,3,2024-03,84
2024-03-31,2024,3,2024-03,405
2024-03-31,2024,3,2024-03,132
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,361
2024-03-31,2024,3,2024-03,314
2024-03-31,2024,3,2024-03,333
2024-03-31,2024,3,2024-03,528
2024-03-31,2024,3,2024-03,516
2024-03-31,2024,3,2024-03,794
2024-03-31,2024,3,2024-03,424
2024-03-31,2024,3,2024-03,69
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,559
2024-03-31,2024,3,2024-03,2245
2024-03-31,2024,3,2024-03,536
2024-03-31,2024,3,2024-03,1173
2024-03-31,2024,3,2024-03,213
2024-03-31,2024,3,2024-03,441
2024-03-31,2024,3,2024-03,1985
2024-03-31,2024,3,2024-03,1833
2024-03-31,2024,3,2024-03,2149
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,285
2024-02-29,2024,2,2024-02,176
2024-02-29,2024,2,2024-02,847
2024-02-29,2024,2,2024-02,2246
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,313
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,259
2024-02-29,2024,2,2024-02,857
2024-02-29,2024,2,2024-02,312
2024-02-29,2024,2,2024-02,725
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,509
2024-02-29,2024,2,2024-02,565
2024-02-29,2024,2,2024-02,737
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,532
2024-02-29,2024,2,2024-02,449
2024-02-29,2024,2,2024-02,1014
2024-02-29,2024,2,2024-02,379
2024-02-29,2024,2,2024-02,110
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,1015
2024-02-29,2024,2,2024-02,1547
2024-02-29,2024,2,2024-02,2455
2024-02-29,2024,2,2024-02,499
2024-02-29,2024,2,2024-02,88
2024-02-29,2024,2,2024-02,429
2024-02-29,2024,2,2024-02,142
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,358
2024-02-29,2024,2,2024-02,337
2024-02-29,2024,2,2024-02,350
2024-02-29,2024,2,2024-02,537
2024-02-29,2024,2,2024-02,522
2024-02-29,2024,2,2024-02,777
2024-02-29,2024,2,2024-02,416
2024-02-29,2024,2,2024-02,75
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,567
2024-02-29,2024,2,2024-02,0
2024-02-29,2024,2,2024-02,500
2024-02-29,2024,2,2024-02,1166
2024-02-29,2024,2,2024-02,204
2024-02-29,2024,2,2024-02,457
2024-02-29,2024,2,2024-02,2034
2024-02-29,2024,2,2024-02,1845
2024-02-29,2024,2,2024-02,2167
2024-02-29,2024,2,2024-02,1383
2024-02-29,2024,2,2024-02,835
2024-02-29,2024,2,2024-02,1245
2024-02-29,2024,2,2024-02,525
2024-01-31,2024,1,2024-01,430
2024-01-31,2024,1,2024-01,744
2024-01-31,2024,1,2024-01,1268
2024-01-31,2024,1,2024-01,848
2024-01-31,2024,1,2024-01,1342
2024-01-31,2024,1,2024-01,2169
2024-01-31,2024,1,2024-01,1883
2024-01-31,2024,1,2024-01,2080
2024-01-31,2024,1,2024-01,451
2024-01-31,2024,1,2024-01,200
2024-01-31,2024,1,2024-01,1166
2024-01-31,2024,1,2024-01,566
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,545
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,68
2024-01-31,2024,1,2024-01,390
2024-01-31,2024,1,2024-01,812
2024-01-31,2024,1,2024-01,537
2024-01-31,2024,1,2024-01,560
2024-01-31,2024,1,2024-01,348
2024-01-31,2024,1,2024-01,351
2024-01-31,2024,1,2024-01,357
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,144
2024-01-31,2024,1,2024-01,86
2024-01-31,2024,1,2024-01,499
2024-01-31,2024,1,2024-01,2394
2024-01-31,2024,1,2024-01,1564
2024-01-31,2024,1,2024-01,989
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,110
2024-01-31,2024,1,2024-01,389
2024-01-31,2024,1,2024-01,1035
2024-01-31,2024,1,2024-01,407
2024-01-31,2024,1,2024-01,536
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,581
2024-01-31,2024,1,2024-01,526
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,739
2024-01-31,2024,1,2024-01,303
2024-01-31,2024,1,2024-01,850
2024-01-31,2024,1,2024-01,536
2024-01-31,2024,1,2024-01,262
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,304
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,2285
2024-01-31,2024,1,2024-01,853
2024-01-31,2024,1,2024-01,172
2024-01-31,2024,1,2024-01,238
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2024-01-31,2024,1,2024-01,0
2023-12-31,2023,12,2023-12,576
2023-12-31,2023,12,2023-12,854
2023-12-31,2023,12,2023-12,1140
2023-12-31,2023,12,2023-12,1249
2023-12-31,2023,12,2023-12,1334
2023-12-31,2023,12,2023-12,2198
